@@,name,position
---,Kelvin Droegemeier,Oklahoma Secretary of Science and Technology
+++,Tricia Everest,Secretary of Public Safety
+++,Tim Gatz,Secretary of Transportation
+++,Susan Winchester,Secretary of Licensing and Regulation
+++,Steven Harpe,Chief Operating Officer and Deputy Secretary of Digital Transformation and Administration
+++,Scott Mueller,Secretary of Commerce and Workforce Development
+++,Ryan Walters,Secretary of Education
+++,Matt Pinnell,"Secretary of Tourism, Wildlife and Heritage"
+++,Kevin Corbett,Secretary of Health and Mental Health
+++,Kenneth Wagner,Secretary of Energy and Environment
+++,Justin Brown,Secretary of Human Services
+++,Jennifer Grigsby,Secretary of Economic Administration
+++,Elizabeth Pollard,Secretary of Science and Innovation
+++,David Ostrowe,Secretary of Digital Transformation and Administration
+++,Brian Bingman,Secretary of State and Native American Affairs
+++,Blayne Arthur,Secretary of Agriculture
+++,Ben T. Robinson,Secretary of Veterans Affairs and Military
