name,position
Blayne Arthur,Secretary of Agriculture
Brian Bingman,Secretary of State and Native American Affairs
Justin Brown,Secretary of Human Services
Kevin Corbett,Secretary of Health and Mental Health
Tricia Everest,Secretary of Public Safety
Tim Gatz,Secretary of Transportation
Jennifer Grigsby,Secretary of Economic Administration
Steven Harpe,Chief Operating Officer and Deputy Secretary of Digital Transformation and Administration
Scott Mueller,Secretary of Commerce and Workforce Development
Matt Pinnell,"Secretary of Tourism, Wildlife and Heritage"
Elizabeth Pollard,Secretary of Science and Innovation
Ben T. Robinson,Secretary of Veterans Affairs and Military
Kenneth Wagner,Secretary of Energy and Environment
Ryan Walters,Secretary of Education
Susan Winchester,Secretary of Licensing and Regulation
