id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q104720639,Mary B. Boren,female,,,,,Senator Mary B. Boren.jpg,Mary B. Boren
Q104815527,Josh West,male,1976-09-19,11,,,Josh West Oklahoma House of Representatives photo.jpg,Josh West (politician)
Q105044233,John Haste,male,,,,,John Haste.jpg,John Haste
Q106466236,Jake A. Merrick,male,,,,,Jake Merrick.jpg,Jake A. Merrick
Q106548871,Blake Stephens,male,,,,,Stephens% 2C% 20Blake% 20Cowboy flags.jpg,Blake Stephens
Q106604033,George Burns,male,,,,,Burns% 2C% 20George flags 1.jpg,George Burns (American politician)
Q106731007,Brenda Stanley,female,1952,9,,,Brenda Stanley.jpg,Brenda Stanley
Q106731021,Jessica Garvin,female,,,,,Jessica Garvin.jpg,Jessica Garvin
Q107209853,Cody Rogers,male,,,,,Cody Rogers.jpg,Cody Rogers
Q107388921,Brent Howard,male,,,,,Brent Howard.jpg,Brent Howard
Q107835068,Jo Anna Dossett,female,,,,,Jo Anna Dossett.jpg,Jo Anna Dossett
Q107835089,Warren Hamilton,male,,,,,Warren Hamilton.jpg,Warren Hamilton
Q107902218,Bill Coleman,male,,,,,Oklahoma State Senator Bill Coleman.jpg,Bill Coleman (Oklahoma politician)
Q108123003,Zack Taylor,male,,,,,Oklahoma State Senator Zack Taylor.jpg,Zack Taylor (Oklahoma politician)
Q108123116,David Bullard,male,,,,,Oklahoma State Senator David Bullard.jpg,David Bullard (politician)
Q108131103,John Montgomery,male,1991,9,,,Oklahoma State Senator John Montgomery.jpg,John Montgomery (Oklahoma politician)
Q108133289,Tricia Everest,female,,,,,,
Q108133300,Tim Gatz,male,,,,,,
Q108133312,Scott Mueller,male,,,,,,
Q108133314,Ryan Walters,male,,,,,,
Q108133318,Kevin Corbett,male,,,,,,
Q108133319,Kenneth Wagner,male,,,,,,
Q108133321,Justin Brown,male,,,,,,
Q108133323,Jennifer Grigsby,female,,,,,,
Q108133327,Elizabeth Pollard,female,,,,,,
Q108133330,David Ostrowe,male,,,,,,
Q108133335,Blayne Arthur,female,,,,,,
Q108133336,Ben T. Robinson,male,,,,,,
Q108133353,Steven Harpe,male,,,,,,
Q111429207,John Nash,male,,,,,,
Q16146507,Mark Allen,male,,,,,Sen. Mark Allen.jpg,Mark Allen (politician)
Q16195304,Steve Russell,male,1963-05-25,11,,,Steve Russell official congressional photo.jpg,Steve Russell (politician)
Q16728335,Nathan Dahm,male,1983-01-27,11,,,Dahm bio.jpg,Nathan Dahm
Q17092073,Rob Standridge,male,,,,,Standridge.jpg,Rob Standridge
Q17285717,Marty Quinn,male,,,,,Marty Quinn.jpg,Marty Quinn (Oklahoma politician)
Q22097316,Ervin Yen,male,1954,9,,,Ervinyen.jpg,Ervin Yen
Q257237,Mary Fallin,female,1954-12-09,11,,,Mary Fallin official 110th Congress photo.jpg,Mary Fallin
Q3160901,James Allen Williamson,male,1951-05-27,11,,,,James Allen Williamson
Q41803400,Michael Brooks-Jimenez,male,,7,,,Michael Brooks-Jimenez.jpg,Michael Brooks-Jimenez
Q43167157,Greg Treat,male,1978-05-09,11,,,Greg Treat 2019.jpg,Greg Treat
Q48664625,Casey Murdock,male,,,,,Casey Murdock.jpg,Casey Murdock
Q48977053,George E. Young,male,,,,,Oklahoma State Senator George Young.jpg,George E. Young
Q4963111,Brian Bingman,male,1953-12-09,11,,,Brian Bingman.jpg,Brian Bingman
Q503580,Dan Boren,male,1973-08-02,11,,,"Dan Boren, official Congressional photo.jpg",Dan Boren
Q5238864,David Rader,male,1957-03-09,11,,,DaveRader.jpg,David Rader
Q5379309,Enoch Kelly Haney,male,1940-11-12,11,2022-04-23,11,Artist kelly haney.jpg,Enoch Kelly Haney
Q538331,Brad Henry,male,1963-07-10,11,,,BradhenryDEA.jpg,Brad Henry
Q55608920,Dan Fisher,male,1958,9,,,,Dan Fisher (politician)
Q55611989,Frank Simpson,male,1945-01-26,11,,,FrankSimpsonOK.jpg,Frank Simpson (politician)
Q55956236,Kelvin Droegemeier,male,1958-09-23,11,,,Kelvin Droegemeier.jpg,Kelvin Droegemeier
Q57339552,Kim David,female,,,,,KimDavid.jpg,Kim David
Q58322517,Kevin Stitt,male,1972-12-28,11,,,Kevin Stitt 2020.jpg,Kevin Stitt
Q58333631,Matt Pinnell,male,1971-10-19,11,,,Lieutenant Governor of Oklahoma Matt Pinnell.jpg,Matt Pinnell
Q60545702,Dewayne Pemberton,male,1956-08-16,11,,,DeWaynepemberton.jpg,Dewayne Pemberton
Q60545769,James Leewright,male,,,,,JamesLeewright.jpg,James Leewright
Q60545888,Tom J. Dugger,male,1948-11-10,11,,,Tomdugger.jpg,Tom J. Dugger
Q60549078,Darcy Jech,male,1957-09-30,11,,,DarcyJech.jpg,Darcy Jech
Q60549181,Micheal Bergstrom,male,1957-09-30,11,,,Michaelbergstrom.jpg,Micheal Bergstrom
Q60676006,Roland Pederson,male,1950-04,10,,,RolandPederson.jpg,Roland Pederson
Q60736865,Roger Thompson,male,,8,,,RogerThompson.jpg,Roger Thompson (politician)
Q60736975,Michael Rogers,male,1978-09-07,11,,,Kevin Stitt.jpg,Michael Rogers (Oklahoma politician)
Q60963530,Lonnie Paxton,male,1968-08-08,11,,,Lonnie Paxton.jpg,Lonnie Paxton
Q61971024,Monroe Nichols,male,1983-09-24,11,,,"Nichols, Monroe.jpg",Monroe Nichols
Q61982062,Adam Pugh,male,1977-10-12,11,,,Adam Pugh.jpg,Adam Pugh
Q62087553,Regina Goodwin,female,1962-09-22,11,,,"Goodwin, Regina.jpg",Regina Goodwin
Q62087778,Julie Daniels,female,1954-02-12,11,,,Julie Daniels.jpg,Julie Daniels
Q62671760,Kevin Matthews,male,1960-03-02,11,,,Oklahoma State Senator Kevin Matthews.jpg,Kevin Matthews (politician)
Q63199090,Greg McCortney,male,1974-05-30,11,,,Greg McCortney.jpg,Greg McCortney
Q63258122,Joe Newhouse,male,1977-09-22,11,,,,Joe Newhouse
Q63699601,Chris Kidd,male,1979-11-23,11,,,Chris Kidd.jpg,Chris Kidd
Q6380181,Kay Floyd,female,,,,,Kay Floyd.jpg,Kay Floyd
Q65920416,Chuck Hall,male,,,,,Oklahoma State Senator Chuck Hall.jpg,Chuck Hall (Oklahoma politician)
Q6947665,Myles Deering,male,1953,9,,,Maj Gen Myles Deering.jpg,Myles Deering
Q7437083,Scott Pruitt,male,1968-05-09,11,,,Scott Pruitt official portrait.jpg,Scott Pruitt
Q7488109,Shane Jett,male,1974-12-05,11,,,Shane Jett.jpg,Shane Jett
Q7648547,Susan Winchester,female,,,,,Susan Winchester.jpg,Susan Winchester
Q7812488,Todd Lamb,male,1971-10-19,11,,,Todd Lamb.jpg,Todd Lamb (politician)
Q82016434,Jerry McPeak,male,1946-10-21,11,,,Jerry McPeak at USDA CNAFR meeting.jpg,Jerry McPeak
Q88619738,Jason Lowe,male,1974-02-20,11,,,Jason Lowe.jpg,Jason Lowe (politician)
Q88620080,Paul Rosino,male,1962-10-02,11,,,Paul Rosino.jpg,Paul Rosino
Q889831,Frank Keating,male,1944-02-10,11,,,"Frank Keating at a conference, Oct 20, 2001 - cropped.jpg",Frank Keating
Q949384,John Sullivan,male,1965-01-01,11,,,"John Sullivan, official 109th Congress photo.jpg",John A. Sullivan (Oklahoma politician)
Q96749855,J. J. Dossett,male,,,,,JJ Dossett official portrait.jpg,J.J. Dossett
Q99194381,Julia Kirt,female,1973-10-07,11,,,Julia Kirt.jpg,Julia Kirt
Q99194383,Darrell Weaver,male,1962-03-15,11,,,Darrell Weaver.jpg,Darrell Weaver
Q99194771,Carri Hicks,female,1982-12-29,11,,,Carri Hicks official photo portrait.jpg,Carri Hicks
