position,person,personID,start,gender,DOB,DOD,image,enwiki
Governor,Kevin Stitt,Q58322517,2019-01-14,male,1972-12-28,,Kevin Stitt 2020.jpg,Kevin Stitt
Lieutenant Governor,Matt Pinnell,Q58333631,2019-01-14,male,1971-10-19,,Lieutenant Governor of Oklahoma Matt Pinnell.jpg,Matt Pinnell
Secretary of Agriculture,Blayne Arthur,Q108133335,2019-01-14,female,,,,
Secretary of Commerce and Tourism,Matt Pinnell,Q58333631,2019-01-18,male,1971-10-19,,Lieutenant Governor of Oklahoma Matt Pinnell.jpg,Matt Pinnell
Secretary of Commerce and Workforce Development,Scott Mueller,Q108133312,2021-02,male,,,,
Secretary of Economic Administration,Jennifer Grigsby,Q108133323,2021-02,female,,,,
Secretary of Education,Ryan Walters,Q108133314,2020-09,male,,,,
Secretary of Energy,Kenneth Wagner,Q108133319,2019-01-14,male,,,,
Secretary of Health,Kevin Corbett,Q108133318,2020-06,male,,,,
Secretary of Human Services,Justin Brown,Q108133321,2020-03,male,,,,
Secretary of Licensing and Regulation,Susan Winchester,Q7648547,2021-02-23,female,,,Susan Winchester.jpg,Susan Winchester
Secretary of Public Safety,Tricia Everest,Q108133289,2019-01-14,female,,,,
Secretary of Science and Innovation,Elizabeth Pollard,Q108133327,2020-06,female,,,,
Secretary of State,Brian Bingman,Q4963111,2020-10-23,male,1953-12-09,,Brian Bingman.jpg,Brian Bingman
Secretary of Transportation,Tim Gatz,Q108133300,2019-01-14,male,,,,
Secretary of Veterans Affairs,John Nash,Q111429207,2022-03-28,male,,,,
Adjutant General,Myles Deering,Q6947665,2009-02-03,male,1953,,Maj Gen Myles Deering.jpg,Myles Deering
Chief Operating Officer,Steven Harpe,Q108133353,2019-01-14,male,,,,
