position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Governor,Frank Keating,Q889831,1995-01-09,2003-01-13,male,1944-02-10,,"Frank Keating at a conference, Oct 20, 2001 - cropped.jpg",Frank Keating
Governor,Brad Henry,Q538331,2003-01-13,2011-01-10,male,1963-07-10,,BradhenryDEA.jpg,Brad Henry
Governor,Mary Fallin,Q257237,2011-01-10,2019-01-14,female,1954-12-09,,Mary Fallin official 110th Congress photo.jpg,Mary Fallin
Governor,Kevin Stitt,Q58322517,2019-01-14,,male,1972-12-28,,Kevin Stitt 2020.jpg,Kevin Stitt
Lieutenant Governor,Mary Fallin,Q257237,1995,2007,female,1954-12-09,,Mary Fallin official 110th Congress photo.jpg,Mary Fallin
Lieutenant Governor,Todd Lamb,Q7812488,2011-01-10,2019-01-14,male,1971-10-19,,Todd Lamb.jpg,Todd Lamb (politician)
Lieutenant Governor,Matt Pinnell,Q58333631,2019-01-14,,male,1971-10-19,,Lieutenant Governor of Oklahoma Matt Pinnell.jpg,Matt Pinnell
Secretary of Agriculture,Blayne Arthur,Q108133335,2019-01-14,,female,,,,
Secretary of Commerce and Tourism,Matt Pinnell,Q58333631,2019-01-18,,male,1971-10-19,,Lieutenant Governor of Oklahoma Matt Pinnell.jpg,Matt Pinnell
Secretary of Commerce and Workforce Development,Scott Mueller,Q108133312,2021-02,,male,,,,
Secretary of Digital Transformation and Administration,David Ostrowe,Q108133330,2019-01-14,2021-09-07,male,,,,
Secretary of Economic Administration,Jennifer Grigsby,Q108133323,2021-02,,female,,,,
Secretary of Education,Ryan Walters,Q108133314,2020-09,,male,,,,
Secretary of Energy,Kenneth Wagner,Q108133319,2019-01-14,,male,,,,
Secretary of Health,Kevin Corbett,Q108133318,2020-06,,male,,,,
Secretary of Human Services,Justin Brown,Q108133321,2020-03,,male,,,,
Secretary of Licensing and Regulation,Susan Winchester,Q7648547,2021-02-23,,female,,,Susan Winchester.jpg,Susan Winchester
Secretary of Public Safety,Tricia Everest,Q108133289,2019-01-14,,female,,,,
Secretary of Science and Innovation,Elizabeth Pollard,Q108133327,2020-06,,female,,,,
Secretary of Science and Technology,Kelvin Droegemeier,Q55956236,2017-03-13,2019-01-11,male,1958-09-23,,Kelvin Droegemeier.jpg,Kelvin Droegemeier
Secretary of State,James Allen Williamson,Q3160901,2018-06-01,2019-01-14,male,1951-05-27,,,James Allen Williamson
Secretary of State,Michael Rogers,Q60736975,2019-01-14,2020-10-23,male,1978-09-07,,Kevin Stitt.jpg,Michael Rogers (Oklahoma politician)
Secretary of State,Brian Bingman,Q4963111,2020-10-23,,male,1953-12-09,,Brian Bingman.jpg,Brian Bingman
Secretary of Transportation,Tim Gatz,Q108133300,2019-01-14,,male,,,,
Secretary of Veterans Affairs,Ben T. Robinson,Q108133336,2019-01-14,2022-03-28,male,,,,
Secretary of Veterans Affairs,John Nash,Q111429207,2022-03-28,,male,,,,
Adjutant General,Myles Deering,Q6947665,2009-02-03,,male,1953,,Maj Gen Myles Deering.jpg,Myles Deering
Attorney General,Scott Pruitt,Q7437083,2011-01-10,2017-02-17,male,1968-05-09,,Scott Pruitt official portrait.jpg,Scott Pruitt
Chief Operating Officer,Steven Harpe,Q108133353,2019-01-14,,male,,,,
