wanted,position,positionid,from,start,end
Q60190894,member of the Senate,Q21367377,Q106466236,2021-04-14,
Q20750791,member of the Senate,Q21367377,Q7488109,2021-01-11,
Q43235050,member of the Senate,Q21367377,Q107209853,2021-01-11,
Q5525981,member of the Senate,Q21367377,Q107835068,2021-01-11,
Q60736864,member of the Senate,Q21367377,Q106548871,2021-01-11,
Q60787500,member of the Senate,Q21367377,Q106604033,2021-01-11,
Q61732248,member of the Senate,Q21367377,Q108123003,2021-01-11,
Q53175364,member of the Senate,Q21367377,Q107835089,2021-01-05,
Q1074120,member of the Senate,Q21367377,Q108131103,2019-01-14,
Q58494724,member of the Senate,Q21367377,Q106731007,2019-01-14,
Q6848732,member of the Senate,Q21367377,Q107388921,2019-01-14,
Q4773543,member of the Senate,Q21367377,Q99194383,2018-11-15,
Q5235119,member of the Senate,Q21367377,Q99194381,2018-11-15,
Q5336020,member of the Senate,Q21367377,Q107902218,2018-11-14,
Q6288704,member of the Senate,Q21367377,Q108123116,2018-11-14,
Q5229226,Secretary of State,Q7082315,Q3160901,2018-06-01,2019-01-14
Q39575056,member of the Senate,Q21367377,Q88620080,2017-11-22,
Q24266482,member of the Senate,Q21367377,Q41803400,2017-07-11,
Q21367686,member of the Senate,Q21367377,Q5238864,2017,
Q18719293,member of the Senate,Q21367377,Q63699601,2016-11-17,
Q5127294,member of the Senate,Q21367377,Q61982062,2016-11-17,
Q6847863,member of the Senate,Q21367377,Q63258122,2016-11-17,
Q7364008,member of the Senate,Q21367377,Q60963530,2016-11-17,
Q7648264,member of the Senate,Q21367377,Q63199090,2016-11-17,
Q5083747,member of the Senate,Q21367377,Q60549181,2016-11-16,
Q7331263,member of the Senate,Q21367377,Q96749855,2016-01-21,
Q5325869,member of the Senate,Q21367377,Q60545702,2016,
Q7146042,member of the Senate,Q21367377,Q60676006,2016,
Q4704415,member of the Senate,Q21367377,Q6380181,2015-11-16,
Q6110002,member of the Senate,Q21367377,Q62671760,2015-04-15,
Q7357834,member of the Senate,Q21367377,Q60736865,2015-01,
Q82446852,member of the House of Representatives,Q18925362,Q48664625,2015-01,2019-01
Q16212679,member of the House of Representatives,Q18925362,Q48977053,2015,2019
Q19391782,member of the House of Representatives,Q18925362,Q108131103,2015,2019
Q16151775,member of the Senate,Q21367377,Q60549078,2014,
Q24263605,member of the Senate,Q21367377,Q22097316,2014,2018
Q7440845,member of the Senate,Q21367377,Q17285717,2014,
Q16149810,member of the Senate,Q21367377,Q16728335,2013-01-08,
Q4704415,member of the House of Representatives,Q18925362,Q6380181,2012-11-14,2015-11-16
Q6110002,member of the House of Representatives,Q18925362,Q62671760,2012-11-14,2015-04-15
Q6274019,member of the Senate,Q21367377,Q17092073,2012,
Q1683489,Lieutenant Governor,Q1853541,Q7812488,2011-01-10,2019-01-14
Q7812488,member of the Senate,Q21367377,Q43167157,2011-01-10,
Q6266057,member of the Senate,Q21367377,Q55611989,2010-11-16,
Q6389999,member of the Senate,Q21367377,Q16146507,2010,
Q7674232,member of the House of Representatives,Q18925362,Q17285717,2010,2014
Q5670822,Adjutant General,Q4683225,Q6947665,2009-02-03,
