position,title
Q2550683,Governor
Q1853541,Lieutenant Governor
Q7082303,Secretary of Agriculture
Q7082304,Secretary of Commerce and Tourism
Q108133313,Secretary of Commerce and Workforce Development
Q108133331,Secretary of Digital Transformation and Administration
Q108133324,Secretary of Economic Administration
Q7082305,Secretary of Education
Q7082307,Secretary of Energy
Q16148033,Secretary of Health
Q7082312,Secretary of Human Services
Q108133199,Secretary of Licensing and Regulation
Q108133291,Secretary of Public Safety
Q108133328,Secretary of Science and Innovation
Q7082313,Secretary of Science and Technology
Q7082315,Secretary of State
Q7082317,Secretary of Transportation
Q7082316,Secretary of Veterans Affairs
Q4683225,Adjutant General
Q4818646,Attorney General
Q108133355,Chief Operating Officer
